LibRef,Comment,Description,Designator,Footprint,Quantity,Pins,ComponentLink1Description,ComponentLink1URL

"HCPL2630","HCPL2630","","U6, U7","DIP-8","2","8","",""
"IR2104","IR2104","","U2, U3, U4, U5","SO8_M","4","8","",""
"MC34063","MC34063","","U8","SO-8","1","8","",""
"CON5","CON5","","lF1","2.54排针1X5","1","5","",""
"7805","LM7805","","U1","TO-252","1","3","",""
"FDB52N20_2","7843","N-Channel MOSFET","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8","TO-252","8","3","",""
"SWITCH-NKK-M201x","SW-SPDT","Switch","SW2","SW3-H2X3_8.6X4.5_L","1","3","",""
"BAT-IF","BAT-IF","","B1","KF301-2P","1","2","",""
"DIODE","IN5819","","D1, D2, D3, D4","SOD-123","4","2","",""
"Diode 1N5400","IN5189","SS14","D5","SMA","1","2","Manufacturer Link","http://www.fairchildsemi.com/"
"INDUCTANCE","120uH","Inductance","L1","L1210","1","2","",""
"LED","RED","LED","D5V","LED-0603","1","2","",""
"MOTOR IF","MOTOR IF","","MOTOR 1, MOTOR 2","KF301-2P","2","2","",""
"RES","0R5","","R22","0603","1","2","",""
"RES","1K","","R1","0603","1","2","",""
"RES","3K8","","R23","0603","1","2","",""
"RES","10K","","R2, R3, R4, R5, R6, R7, R8, R9","0603","8","2","",""
"RES","30K","","R25","0603","1","2","",""
"RES","33R","","R10, R11, R12, R13, R17, R18, R19, R20","0603","8","2","",""
"RES","220","","R24","0603","1","2","",""
"RES","390","","R14, R15, R16, R21, R47, R48, R49, R50","0603","8","2","",""
"普通电容","0.1u","Capacitor","C6","0603","1","2","",""
"普通电容","104","Capacitor","C3","0603","1","2","",""
"普通电容","105","Capacitor","C4, C10, C11, C12","0603","4","2","",""
"普通电容","220p","Capacitor","C1","0603","1","2","",""
"电解电容","220u","Capacitor","C5, C13","CAP 2.5*6.3*7 - BK","2","2","",""
"电解电容","220u/25V","Capacitor","C2","CAP 2.5*6.3*7 - BK","1","2","",""
